Mar 26 13:59:27.383 INFO Ballot Leader Election componentMar 26 13:59:29.834 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 3 }
Mar 26 13:59:31.051 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 4 }
Mar 26 13:59:31.057 DEBG Handling promise from 3 in Prepare phase
Mar 26 13:59:37.497 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 5 }
Mar 26 13:59:40.148 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 4 }
Mar 26 13:59:40.155 DEBG Handling promise from 5 in Prepare phase
Mar 26 13:59:40.155 DEBG Self role Leader, phase Accept. Incoming message Promise Accept from 3
 pid: 3 }, true)]
Mar 26 13:59:33.595 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:34.886 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:36.170 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:37.497 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true), (Ballot { n: 0, priority: 0, pid: 5 }, true)]
Mar 26 13:59:37.497 DEBG BLE 4, New Leader elected: Ballot { n: 0, priority: 0, pid: 5 }
Mar 26 13:59:38.803 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 5 }, false), (Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:40.147 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 5 }, true), (Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:40.148 DEBG BLE 4, New Leader elected: Ballot { n: 1, priority: 0, pid: 4 }
Mar 26 13:59:41.489 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true), (Ballot { n: 0, priority: 0, pid: 5 }, true)]
Mar 26 13:59:42.793 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 5 }, true), (Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:44.115 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true), (Ballot { n: 0, priority: 0, pid: 5 }, true)]
Mar 26 13:59:45.430 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 5 }, true), (Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:46.726 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true), (Ballot { n: 0, priority: 0, pid: 5 }, true)]
Mar 26 13:59:48.036 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 5 }, true), (Ballot { n: 0, priority: 0, pid: 3 }, true)]
Mar 26 13:59:49.384 DEBG Received a majority of heartbeats [(Ballot { n: 0, priority: 0, pid: 3 }, true), (Ballot { n: 0, priority: 0, pid: 5 }, true)]
