Mar 26 13:59:35.630 INFO Ballot Leader Election componentMar 26 13:59:38.217 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 4 }
Mar 26 13:59:39.497 DEBG Newly elected leader: Ballot { n: 0, priority: 0, pid: 5 }
Mar 26 13:59:39.503 DEBG Handling promise from 4 in Prepare phase
Mar 26 13:59:40.827 DEBG Newly elected leader: Ballot { n: 1, priority: 0, pid: 4 }
ajority of heartbeats [(Ballot { n: 0, priority: 0, pid: 4 }, true)]
Mar 26 13:59:39.497 DEBG BLE 5, New Leader elected: Ballot { n: 0, priority: 0, pid: 5 }
Mar 26 13:59:40.827 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:40.827 DEBG BLE 5, New Leader elected: Ballot { n: 1, priority: 0, pid: 4 }
Mar 26 13:59:42.160 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:43.465 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:44.778 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:46.072 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:47.374 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:48.689 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:50.030 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:51.407 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:52.747 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:54.057 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:55.366 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:56.689 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:58.001 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 13:59:59.308 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:00.628 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:01.945 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:03.256 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:04.577 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:05.888 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:07.196 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:08.509 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:09.828 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:11.145 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:12.467 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:13.785 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:15.089 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:16.399 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:17.710 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:19.016 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:20.331 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:21.650 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:22.961 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
Mar 26 14:00:24.273 DEBG Received a majority of heartbeats [(Ballot { n: 1, priority: 0, pid: 4 }, true)]
